quantite
x 1/ jour pendant 3 jours
x 2/ jour pendant 3 jours
x 3/ jour pendant 3 jours
x 4/ jour pendant 3 jours
x 1 le soir  pendant 3 jours
x 1/ jour pendant 4 jours
x 2/ jour pendant 4 jours
x 3/ jour pendant 4 jours
x 4/ jour pendant 4 jours
x 1 le soir  pendant 4 jours
x 1/ jour pendant 5 jours
x 2/ jour pendant 5 jours
x 3/ jour pendant 5 jours
x 4/ jour pendant 5 jours
x 1 le soir  pendant 5 jours
x 1/ jour pendant 7 jours
x 2/ jour pendant 7 jours
x 3/ jour pendant 7 jours
x 4/ jour pendant 7 jours
x 1 le soir  pendant 7 jours
x 1/ jour pendant 10 jours
x 2/ jour pendant 10 jours
x 3/ jour pendant 10 jours
x 4/ jour pendant 10 jours
x 1 le soir  pendant 10 jours
x 1/ jour pendant 15 jours
x 2/ jour pendant 15 jours
x 3/ jour pendant 15 jours
x 4/ jour pendant 15 jours
x 1 le soir  pendant 15 jours
x 1/ jour pendant  21 jours
x 2/ jour pendant  21 jours
x 3/ jour pendant  21 jours
x 4/ jour pendant  21 jours
x 1 le soir  pendant 21 jours
x 1/ jour pendant  28 jours
x 2/ jour pendant  28 jours
x 3/ jour pendant  28 jours
x 4/ jour pendant  28 jours
x 1 le soir  pendant  28 jours
x 1/ jour pendant 30 jours
x 2/ jour pendant 30 jours
x 3/ jour pendant 30 jours
x 4/ jour pendant 30 jours
x 1 le soir  pendant 30 jours
